,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,P14,Problem14_prop_034.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,158975030877.0,7426015232,1344480792,41,151011198737,2244182737,2,3,670,853,1331,2522,606,1545,40,0,0,Unknown,10.0,0.0,0.0
,P14,Problem14_prop_034.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timeout while trying to prove ((A U B) || G(A))],1213045293028.0,7635730432,4806846288,25,1202515299765,76399054317,2,3,670,2092,1331,6239,823,5302,25,0,0,Decomposition not yet finished,4.4,0.0,0.0
,P14,Problem14_prop_034.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timeout while trying to prove ((A U B) || G(A))],1211807134845.0,7635730432,5649360752,25,1200938779627,92329098197,2,3,670,2092,1331,6239,823,5302,25,0,0,Decomposition not yet finished,4.4,0.0,0.0
,P14,Problem14_prop_034.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,163518642250.0,7635730432,1001703664,42,155609245079,2321688724,2,3,670,853,1331,2522,606,1545,41,0,0,Unknown,10.073170731707316,0.0,0.0
,P14,Problem14_prop_035.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,945981636430.0,7.22468864E+9,2261413168,30,938935340838,91685883425,2,3,670,853,1331,2522,606,1545,27,0,2,Unknown,8.62962962962963,0.0,11.0
,P14,Problem14_prop_035.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],1102619873597.0,7.62052608E+9,5434368664,0,2132292,0,2,3,670,2092,1331,6239,823,5302,-,-,-,-,-,-,-
,P14,Problem14_prop_035.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],959538284173.0,7635730432,6350185872,0,2146057,0,2,3,670,2092,1331,6239,823,5302,-,-,-,-,-,-,-
,P14,Problem14_prop_035.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,549445527119.0,7635730432,3459841464,30,542579824761,68674269963,2,3,670,853,1331,2522,606,1545,27,2,0,Unknown,8.666666666666666,19.0,0.0
,P14,Problem14_prop_036.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,568318464715.0,7576485888,5.88157276E+9,29,566771150693,10375469825,1,1,670,853,671,849,9,124,27,0,1,Unknown,7.888888888888889,0.0,7.0
,P14,Problem14_prop_036.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],748720591280.0,7635730432,5816607688,0,2130318,0,1,1,670,2092,671,2088,183,1423,-,-,-,-,-,-,-
